,Train StoppingEpoch,Train time,Central test accuracy,Test accuracy,Test Recall,Test Precision
mean,13.0,7.737422013282776,0.9404999999999999,0.9373333333333334,0.96425,0.9474330631294523
std,0.0,1.634064580974405,1.1702778228589004e-16,0.0,0.0,1.1702778228589004e-16
2x_std,0.0,3.26812916194881,2.340555645717801e-16,0.0,0.0,2.340555645717801e-16
3x_std,0.0,4.902193742923215,3.510833468576701e-16,0.0,0.0,3.510833468576701e-16
