,Train StoppingEpoch,Train time,Central test accuracy,Test accuracy,Test Recall,Test Precision
mean,11.9,3.2928258180618286,0.9381666666666669,0.9378333333333332,0.9605,0.9474722564734895
std,0.31622776601683794,0.9381496104768641,1.1702778228589004e-16,0.0,0.0,1.1702778228589004e-16
2x_std,0.6324555320336759,1.8762992209537281,2.340555645717801e-16,0.0,0.0,2.340555645717801e-16
3x_std,0.9486832980505138,2.8144488314305924,3.510833468576701e-16,0.0,0.0,3.510833468576701e-16
