Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,5.132073163986206,130,0.8679245283018868,0.8243243243243243,0.9838709677419355,0.8970588235294118,0.4856865424281621,0.5016832059874972,0.8679245283018868
2,1,,5.055398225784302,128,0.8773584905660378,0.8450704225352113,0.967741935483871,0.9022556390977443,3.5364973430617845,0.8055275437314534,0.8773584905660378
3,2,,4.556917428970337,128,0.8867924528301887,0.8676470588235294,0.9516129032258065,0.9076923076923077,2.068435168767856,0.5904057464773717,0.8867924528301887
4,3,,5.038906574249268,144,0.9056603773584906,0.8939393939393939,0.9516129032258065,0.921875,35.973053254895135,1.442493999378163,0.9056603773584906
5,4,,4.683636665344238,139,0.8962264150943396,0.8695652173913043,0.967741935483871,0.9160305343511451,4.49295003114318,0.781460574608517,0.8962264150943396
6,5,,6.743656396865845,166,0.9150943396226415,0.8955223880597015,0.967741935483871,0.930232558139535,8.159421028075549,0.9219703378302808,0.9150943396226415
7,6,,4.263176679611206,121,0.8867924528301887,0.8676470588235294,0.9516129032258065,0.9076923076923077,4.408335579769095,0.9178622181297585,0.8867924528301887
8,7,,5.700093507766724,143,0.9245283018867925,0.9354838709677419,0.9354838709677419,0.9354838709677419,4.180251844885581,0.799780143576029,0.9245283018867925
9,8,,5.462372541427612,160,0.8773584905660378,0.8450704225352113,0.967741935483871,0.9022556390977443,1.8584969019539639,0.7396070207009662,0.8773584905660378
10,9,,5.188842296600342,148,0.8867924528301887,0.8787878787878788,0.9354838709677419,0.90625,1.1618929092920964,0.6187651904834157,0.8867924528301887
