Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,2.5113019943237305,73,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.1627487500964577,0.30312882519648066,0.9649122807017544
2,1,,1.9804306030273438,72,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.1623148885135958,0.3027539196254663,0.9649122807017544
3,2,,2.295201301574707,79,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.1606701656936397,0.30156171830825573,0.9649122807017544
4,3,,2.2449424266815186,80,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.1606352260403215,0.3017202532363546,0.9649122807017544
5,4,,2.4687511920928955,72,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.16233277202858346,0.302740921238214,0.9649122807017544
6,5,,2.6963915824890137,80,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.1605758638119796,0.301718999915715,0.9649122807017544
7,6,,3.9217233657836914,84,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.1603327943305506,0.3006672858680099,0.9649122807017544
8,7,,3.6916873455047607,85,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.1603911265733557,0.3004210922645046,0.9649122807017544
9,8,,2.070228338241577,72,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.16250849556271652,0.30304786089763047,0.9649122807017544
10,9,,3.116715908050537,91,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.15871069214815195,0.2995564244175434,0.9649122807017544
