Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,1.4893558025360107,45,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.27771979446120987,0.3785763733224697,0.935672514619883
2,1,,1.7911734580993652,41,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2792607801882707,0.3797924718782002,0.935672514619883
3,2,,1.7343695163726807,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.27701781079810167,0.3785647988521238,0.935672514619883
4,3,,1.8271937370300293,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.27692958108286103,0.37870916801331367,0.935672514619883
5,4,,1.3596417903900146,44,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2775943131157262,0.37858715267218773,0.935672514619883
6,5,,1.2982807159423828,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2769871137630944,0.3786276258653265,0.935672514619883
7,6,,1.1838624477386475,38,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2790186795627676,0.37971950462396126,0.935672514619883
8,7,,1.539217472076416,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2766755071058821,0.3783325377948569,0.935672514619883
9,8,,1.6159861087799072,44,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2776296262160077,0.378843664458714,0.935672514619883
10,9,,1.570244550704956,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2767202662123232,0.3785514885935102,0.935672514619883
