Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,7.494900703430176,68,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.54697958249655,0.53585177003692,0.8490566037735849
2,1,,5.40850305557251,69,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5469209669547844,0.5358394690552937,0.8490566037735849
3,2,,5.5608954429626465,70,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5468930887247753,0.5358257003793483,0.8490566037735849
4,3,,6.284322261810303,66,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5469262953100332,0.5358445637436706,0.8490566037735849
5,4,,4.616647720336914,65,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5466405105876363,0.5357724946651397,0.8490566037735849
6,5,,3.446148633956909,69,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5469868674346257,0.5358603146106887,0.8490566037735849
7,6,,4.4400553703308105,67,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5468487671038039,0.5358147677365419,0.8490566037735849
8,7,,3.6387939453125,65,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5468969594864815,0.5358396383025534,0.8490566037735849
9,8,,4.521482467651367,66,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5467175529502444,0.5357911570263462,0.8490566037735849
10,9,,3.3265562057495117,65,0.8490566037735849,0.8194444444444444,0.9516129032258065,0.8805970149253732,0.5467499217570406,0.5358050111780861,0.8490566037735849
