Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.873015873015873,8.37891936302185,48,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.41687741224216035,0.5448505904944242
2,1,0.873015873015873,8.182130336761475,47,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.4169006783159273,0.5448666905732282
3,2,0.873015873015873,8.45937466621399,47,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.4168751899617465,0.5448513510569601
4,3,0.873015873015873,11.081851959228516,47,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.4168921573208413,0.5448690611508501
5,4,0.873015873015873,9.420395135879517,47,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.4168702242744108,0.5448495576775821
6,5,0.873015873015873,9.489988565444946,47,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.4168871939176874,0.5448659067249795
7,6,0.873015873015873,8.417881488800049,47,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.416890613076596,0.5448620377070602
8,7,0.873015873015873,9.230987787246704,46,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.4168597731312812,0.5448443823593703
9,8,0.873015873015873,9.542780876159668,46,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.41687092375901114,0.5448497932813378
10,9,0.873015873015873,8.261527061462402,46,0.8888888888888888,0.9130434782608695,0.7777777777777778,0.84,0.4168829155995467,0.5448517787249775
