Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.8412698412698413,7.808907747268677,48,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5636647325335415,0.5737697790541646
2,1,0.8412698412698413,8.773882150650024,48,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5637152567667834,0.5738434258646113
3,2,0.8412698412698413,8.190863132476807,48,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5636835617703305,0.573825829402046
4,3,0.8412698412698413,7.648074150085449,48,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.563621819438552,0.5737695779503145
5,4,0.8412698412698413,6.9058897495269775,45,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5634749099809608,0.5738581545200052
6,5,0.8412698412698413,7.847415208816528,50,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5637901325702962,0.573775984657238
7,6,0.8412698412698413,7.097053289413452,47,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5635768388664876,0.573773515715015
8,7,0.8412698412698413,7.0392961502075195,46,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5635726379888488,0.5737797134082785
9,8,0.8412698412698413,7.290337562561035,49,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5637681675286573,0.5737835576542197
10,9,0.8412698412698413,6.528919696807861,44,0.8253968253968254,0.7931034482758621,0.8518518518518519,0.8214285714285715,0.5635580667833243,0.5738097783163361
