Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.9629629629629629,1.5280258655548096,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.21082251394511953,0.3689867171313125
2,1,0.9629629629629629,1.4518508911132812,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.21005512846031796,0.36912211919526866
3,2,0.9629629629629629,1.4298183917999268,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.21052221528795723,0.36974471794223757
4,3,0.9629629629629629,1.5037634372711182,42,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.21000639778461375,0.36793327380503477
5,4,0.9629629629629629,1.6601319313049316,42,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2083189217088743,0.3672757271900739
6,5,0.9629629629629629,1.4786019325256348,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.20955275210893062,0.36834013077553857
7,6,0.9629629629629629,1.4153540134429932,40,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.20960650333757602,0.369081286187967
8,7,0.9629629629629629,1.4957609176635742,42,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.20769783548004636,0.36616810902059094
9,8,0.9629629629629629,1.341801404953003,36,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.20624070339059766,0.3656571102875479
10,9,0.9629629629629629,1.5045578479766846,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.20928318052384914,0.36866641033829
