Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,1.62687349319458,41,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.4010205941181924,0.5198786531395581,0.8888888888888888
2,1,,1.9006798267364502,45,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.4010246661211295,0.5198835862403457,0.8888888888888888
3,2,,1.8234658241271973,45,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.4010296035884854,0.5198753779204892,0.8888888888888888
4,3,,1.7738361358642578,42,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.4010296816186349,0.5198652174750567,0.8888888888888888
5,4,,2.0555179119110107,43,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.40101854958854194,0.5198870596523737,0.8888888888888888
6,5,,1.8274040222167969,42,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.4010215855918506,0.5198743862091068,0.8888888888888888
7,6,,1.4918911457061768,40,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.4010321251855549,0.5198880379464649,0.8888888888888888
8,7,,1.669020652770996,43,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.4010242368727139,0.5198603113801455,0.8888888888888888
9,8,,1.8499059677124023,43,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.4010258086740927,0.5198760856926177,0.8888888888888888
10,9,,1.5858778953552246,40,0.8888888888888888,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.40101402353413546,0.519865005529231,0.8888888888888888
