Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.8962264150943396,17.927559852600098,141,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.44950092102021977,0.47791174340470743
2,1,0.8962264150943396,17.6413836479187,141,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.44951312195687987,0.47792732863761006
3,2,0.8962264150943396,18.43067765235901,139,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.4494754196644053,0.4779288352169459
4,3,0.8962264150943396,16.9898898601532,137,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.4495276460239217,0.4779116112253557
5,4,0.8962264150943396,17.884504795074463,140,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.44947877097451333,0.4779109638237296
6,5,0.8962264150943396,18.361704349517822,140,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.44949488383514713,0.47793090189040466
7,6,0.8962264150943396,20.370110750198364,140,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.44948550255588643,0.47792752301428426
8,7,0.8962264150943396,15.287149667739868,137,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.4495041101142461,0.4779482007130069
9,8,0.8962264150943396,14.485598087310791,138,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.4494924925729133,0.4779254154561302
10,9,0.8962264150943396,15.526355743408203,140,0.9150943396226415,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.4494990092844954,0.4779380034627165
