Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,3.969255208969116,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506510056453311,0.36205339840256023,0.9381666666666667
2,1,,3.219372510910034,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.25065891067819335,0.36206071233246795,0.9381666666666667
3,2,,7.516957521438599,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.25065608527369504,0.3620574638720141,0.9381666666666667
4,3,,4.579563856124878,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506543272474608,0.3620508969895471,0.9381666666666667
5,4,,3.5382139682769775,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.25065125572354113,0.36205226124316703,0.9381666666666667
6,5,,3.746480941772461,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.250659319486837,0.36205673000986976,0.9381666666666667
7,6,,2.7372231483459473,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.25066635261123205,0.36207049618971754,0.9381666666666667
8,7,,4.3988196849823,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506607186005236,0.36206342164652355,0.9381666666666667
9,8,,2.1687088012695312,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506542097520183,0.3620500291410698,0.9381666666666667
10,9,,3.7838387489318848,11,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506566341649576,0.362057777062438,0.9381666666666667
