Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,2.8624043464660645,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.2466266179488001,0.3524622716021404,0.9375
2,1,,4.600022792816162,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662185619721944,0.35244465535385944,0.9375
3,2,,4.02293848991394,16,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.246624477962858,0.3524520138258636,0.9375
4,3,,3.358323097229004,16,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662337466476014,0.3524462718591545,0.9375
5,4,,5.745201587677002,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.2466243463550266,0.3524507160506674,0.9375
6,5,,5.148863077163696,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662522281916313,0.35245886445233177,0.9375
7,6,,4.036952018737793,16,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662385049669372,0.3524484538823073,0.9375
8,7,,4.202213525772095,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662540416183243,0.35246181280265765,0.9375
9,8,,3.6329572200775146,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662510994979678,0.3524619948110562,0.9375
10,9,,8.679224729537964,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662295602302092,0.3524523581815321,0.9375
