Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.9532163742690059,4.651644706726074,57,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.19006213910670605,0.32551151933505074
2,1,0.9532163742690059,4.23420262336731,52,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18909242962402023,0.3255560536552474
3,2,0.9532163742690059,4.745753765106201,57,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.1896665706709584,0.32502510357358383
4,3,0.9532163742690059,5.556096315383911,56,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18915755698026604,0.3246012098609146
5,4,0.9532163742690059,5.397753715515137,57,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18966708627852655,0.32495377337786674
6,5,0.9532163742690059,4.8577165603637695,56,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18966838371237574,0.3251640045371691
7,6,0.9532163742690059,4.250631332397461,52,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18948585660606385,0.32598244473506544
8,7,0.9532163742690059,4.717829942703247,57,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18969668542430404,0.3250638889582409
9,8,0.9532163742690059,4.777339458465576,57,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18986329510489733,0.32516906077661983
10,9,0.9532163742690059,4.9875946044921875,57,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18976299672299343,0.32523515762038774
